CovidDate,StateCode
1/28/2020,HI
1/28/2020,ID
1/28/2020,IL
1/28/2020,IN
1/28/2020,IA
1/28/2020,KS
1/28/2020,KY
1/28/2020,LA
1/28/2020,ME
1/28/2020,MD
1/28/2020,MA
1/28/2020,MI
1/28/2020,MN
1/28/2020,MS
1/28/2020,MO
1/28/2020,MT
1/28/2020,NE
1/28/2020,NV
1/28/2020,NH
1/28/2020,NJ
1/28/2020,NM
1/28/2020,NY
1/28/2020,NC
1/28/2020,ND
1/28/2020,OH
1/28/2020,OK
1/28/2020,OR
1/28/2020,PA
1/28/2020,RI
1/28/2020,SC
1/28/2020,SD
1/28/2020,TN
1/28/2020,TX
1/28/2020,UT
1/28/2020,VT
1/28/2020,VA
1/28/2020,WA
1/28/2020,WV
1/28/2020,WI
1/28/2020,WY
1/29/2020,AL
1/29/2020,AK
1/29/2020,AZ
1/29/2020,AR
1/29/2020,CA
1/29/2020,CO
1/29/2020,CT
1/29/2020,DE
1/29/2020,DC
1/29/2020,FL
1/29/2020,GA
1/29/2020,HI
1/29/2020,ID
1/29/2020,IL
1/29/2020,IN
1/29/2020,IA
1/29/2020,KS
1/29/2020,KY
1/29/2020,LA
1/29/2020,ME
1/29/2020,MD
1/29/2020,MA
1/29/2020,MI
1/29/2020,MN
1/29/2020,MS
1/29/2020,MO
1/29/2020,MT
1/29/2020,NE
1/29/2020,NV
1/29/2020,NH
1/29/2020,NJ
1/29/2020,NM
1/29/2020,NY
1/29/2020,NC
1/29/2020,ND
1/29/2020,OH
1/29/2020,OK
1/29/2020,OR
1/29/2020,PA
1/29/2020,RI
1/29/2020,SC
1/29/2020,SD
1/29/2020,TN
1/29/2020,TX
1/29/2020,UT
1/29/2020,VT
1/29/2020,VA
1/29/2020,WA
1/29/2020,WV
1/29/2020,WI
1/29/2020,WY
1/30/2020,AL
1/30/2020,AK
1/30/2020,AZ
1/30/2020,AR
1/30/2020,CA
1/30/2020,CO
1/30/2020,CT
1/30/2020,DE
1/30/2020,DC
1/30/2020,FL
1/30/2020,GA
1/30/2020,HI
1/30/2020,ID
1/30/2020,IL
1/30/2020,IN
1/30/2020,IA
1/30/2020,KS
1/30/2020,KY
1/30/2020,LA
1/30/2020,ME
1/30/2020,MD
1/30/2020,MA
1/30/2020,MI
1/30/2020,MN
1/30/2020,MS
1/30/2020,MO
1/30/2020,MT
1/30/2020,NE
1/30/2020,NV
1/30/2020,NH
1/30/2020,NJ
1/30/2020,NM
1/30/2020,NY
1/30/2020,NC
1/30/2020,ND
1/30/2020,OH
1/30/2020,OK
1/30/2020,OR
1/30/2020,PA
1/30/2020,RI
1/30/2020,SC
1/30/2020,SD
1/30/2020,TN
1/30/2020,TX
1/30/2020,UT
1/30/2020,VT
1/30/2020,VA
1/30/2020,WA
1/30/2020,WV
1/30/2020,WI
1/30/2020,WY
1/31/2020,AL
1/31/2020,AK
1/31/2020,AZ
1/31/2020,AR
1/31/2020,CA
1/31/2020,CO
1/31/2020,CT
1/31/2020,DE
1/31/2020,DC
1/31/2020,FL
1/31/2020,GA
1/31/2020,HI
1/31/2020,ID
1/31/2020,IL
1/31/2020,IN
1/31/2020,IA
1/31/2020,KS
1/31/2020,KY
1/31/2020,LA
1/31/2020,ME
1/31/2020,MD
1/31/2020,MA
1/31/2020,MI
1/31/2020,MN
1/31/2020,MS
1/31/2020,MO
1/31/2020,MT
1/31/2020,NE
1/31/2020,NV
1/31/2020,NH
1/31/2020,NJ
1/31/2020,NM
1/31/2020,NY
1/31/2020,NC
1/31/2020,ND
1/31/2020,OH
1/31/2020,OK
1/31/2020,OR
1/31/2020,PA
1/31/2020,RI
1/31/2020,SC
1/31/2020,SD
1/31/2020,TN
1/31/2020,TX
1/31/2020,UT
1/31/2020,VT
1/31/2020,VA
1/31/2020,WA
1/31/2020,WV
1/31/2020,WI
1/31/2020,WY
2/1/2020,AL
2/1/2020,AK
2/1/2020,AZ
2/1/2020,AR
2/1/2020,CA
2/1/2020,CO
2/1/2020,CT
2/1/2020,DE
2/1/2020,DC
2/1/2020,FL
2/1/2020,GA
2/1/2020,HI
2/1/2020,ID
2/1/2020,IL
2/1/2020,IN
2/1/2020,IA
2/1/2020,KS
2/1/2020,KY
2/1/2020,LA
2/1/2020,ME
2/1/2020,MD
2/1/2020,MA
2/1/2020,MI
2/1/2020,MN
2/1/2020,MS
2/1/2020,MO
2/1/2020,MT
2/1/2020,NE
2/1/2020,NV
2/1/2020,NH
2/1/2020,NJ
2/1/2020,NM
2/1/2020,NY
2/1/2020,NC
2/1/2020,ND
2/1/2020,OH
2/1/2020,OK
2/1/2020,OR
2/1/2020,PA
2/1/2020,RI
2/1/2020,SC
2/1/2020,SD
2/1/2020,TN
2/1/2020,TX
2/1/2020,UT
2/1/2020,VT
2/1/2020,VA
2/1/2020,WA
2/1/2020,WV
2/1/2020,WI
2/1/2020,WY
2/2/2020,AL
2/2/2020,AK
2/2/2020,AZ
2/2/2020,AR
2/2/2020,CA
2/2/2020,CO
